14	 15-N 	7	p	  6322.428(12)	6322.428	         0.01450(22)	0.0145	2.20E-04	          0.00314(5)	3.14E-03	4.76E-05
14	 15-N 	7	p	  7153.270(16)	7153.27	          5.0E-05(6)	0.00005	6.00E-06	        1.08E-05(13)	1.08E-05	1.30E-06
14	 15-N 	7	p	  7298.983(17)	7298.983	         0.00746(12)	0.00746	1.20E-04	          0.00161(3)	1.61E-03	2.60E-05
14	 15-N 	7	p	  8310.161(19)	8310.161	          0.00330(6)	0.0033	6.00E-05	        0.000714(13)	7.14E-04	1.30E-05
14	 15-N 	7	p	    8568.71(4)	8568.71	          5.4E-05(5)	0.000054	5.00E-06	        1.17E-05(11)	1.17E-05	1.08E-06
14	 15-N 	7	p	    9046.66(6)	9046.66	        1.59E-04(18)	0.000159	1.80E-05	          3.4E-05(4)	3.44E-05	3.89E-06
14	 15-N 	7	p	    9148.98(5)	9148.98	          0.00129(6)	0.00129	6.00E-05	        0.000279(13)	2.79E-04	1.30E-05
14	 15-N 	7	p	  9151.937(17)	9151.937	          1.2E-04(3)	0.00012	3.00E-05	          2.6E-05(7)	2.60E-05	6.49E-06
14	 15-N 	7	p	   9219.43(11)	9219.43	          1.5E-05(9)	0.000015	9.00E-06	         3.2E-06(19)	3.25E-06	1.95E-06
14	 15-N 	7	p	   9756.87(11)	9756.87	          4.4E-05(5)	0.000044	5.00E-06	         9.5E-06(11)	9.52E-06	1.08E-06
14	 15-N 	7	p	    9921.36(4)	9921.36	          9.9E-05(8)	0.000099	8.00E-06	        2.14E-05(17)	2.14E-05	1.73E-06
14	 15-N 	7	p	   10061.85(5)	10061.85	          4.5E-05(8)	0.000045	8.00E-06	         9.7E-06(17)	9.74E-06	1.73E-06
14	 15-N 	7	p	   10697.63(7)	10697.63	            8E-06(5)	0.000008	5.00E-06	         1.7E-06(11)	1.73E-06	1.08E-06
14	 15-N 	7	p	 10829.120(12)	10829.12	           0.0113(8)	0.0113	8.00E-04	         0.00244(17)	2.44E-03	1.73E-04
16	 17-O 	8	p	     870.68(6)	870.68	        1.77E-04(11)	0.000177	1.10E-05	        3.35E-05(21)	3.35E-05	2.08E-06
16	 17-O 	8	p	    1087.75(6)	1087.75	         1.58E-04(7)	0.000158	7.00E-06	        2.99E-05(13)	2.99E-05	1.33E-06
16	 17-O 	8	p	    2184.42(7)	2184.42	         1.64E-04(7)	0.000164	7.00E-06	        3.11E-05(13)	3.11E-05	1.33E-06
16	 17-O 	8	p	    3272.02(8)	3272.02	        3.53E-05(23)	0.0000353	2.30E-06	          6.7E-06(4)	6.69E-06	4.36E-07
17	 18-O 	8	p	    535.09(17)	535.09	2.00E-09	2.00E-09	0.00E+00	3.80E-10	3.79E-10	0.00E+00
17	 18-O 	8	p	    821.76(15)	821.76	         5.8E-08(12)	5.80E-08	1.20E-08	        1.10E-08(23)	1.10E-08	2.27E-09
17	 18-O 	8	p	     1177.3(6)	1177.3	6.60E-09	6.60E-09	0.00E+00	1.30E-09	1.25E-09	0.00E+00
17	 18-O 	8	p	   1457.36(18)	1457.36	3.00E-09	3.00E-09	0.00E+00	5.70E-10	5.68E-10	0.00E+00
