 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 72GA 31  1630.000  1.000  5.70E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31    50.880   .040  1.73E-04  1.90E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   112.520   .030  2.20E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   449.550   .210  1.60E-03  1.60E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   786.170   .160  1.60E-01  2.20E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1050.690   .050  1.19E-01  1.30E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1680.770   .070  1.54E-02  1.60E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2515.000   .500  4.40E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2583.400   .400  2.45E-04  2.50E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1920.200   .170  2.70E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2939.600   .400  1.79E-04  1.90E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   428.420   .180  3.50E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   479.230   .100  1.57E-03  1.60E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   878.320   .180  1.26E-03  1.30E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1215.150   .070  1.35E-02  1.30E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2109.500   .090  1.79E-02  1.90E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2942.400   .900  5.00E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2950.000   .500  6.60E-05  1.60E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   520.740   .240  9.40E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   970.550   .060  1.92E-02  1.90E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1571.600   .140  1.41E-02  1.30E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2201.910   .130  5.20E-01  4.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  3034.600   .400  1.50E-01  3.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2404.300   .800  2.64E-04  2.50E-05    14.10 H  5.08E+04  3.60E+01 B-
