 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
111PD 46   478.900   .600  4.30E-06  2.40E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   516.400   .600  5.80E-06  1.30E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   955.500   .600  8.40E-06  8.02E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   540.700   .600  5.80E-06  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   709.800   .200  2.80E-05  3.01E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1026.600  1.000  1.90E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   742.600   .400  3.70E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1059.800  1.000  2.80E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   624.000  1.000  3.70E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   793.800   .600  3.90E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   611.300   .400  3.90E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   635.000  1.000  5.00E-06  4.00E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   775.500   .300  9.40E-06  9.02E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   803.800   .300  7.70E-06  1.30E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   890.000  1.000  9.00E-07  4.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1120.400   .200  3.00E-05  3.01E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   603.100   .500  5.10E-06  2.40E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   641.700   .200  9.40E-06  1.90E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   833.000  1.000  1.90E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   921.400   .600  5.40E-06  1.10E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   937.300  1.000  1.50E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1506.000  1.000  1.90E-07  1.90E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   308.400   .200  2.06E-06  1.91E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   808.500   .000  5.80E-06  8.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   835.700   .200  6.00E-05  4.02E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   950.000  1.000  1.90E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1388.500   .200  1.20E-04  9.04E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1459.000   .300  1.25E-04  9.04E-06     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1311.200  1.000  1.70E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1542.900   .400  4.90E-06  6.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1015.000  1.000  1.90E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1053.000  1.000  9.00E-07  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1067.100   .500  2.80E-06  9.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1269.700   .500  1.90E-06  6.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1022.000  1.000  1.50E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1098.000  1.000  1.50E-06  8.00E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1574.500   .500  5.80E-06  9.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46  1644.300  1.000  4.30E-06  9.01E-07     23.4 M  1.40E+03  1.20E+01 B-
111PD 46   172.180   .080  1.50E-03  3.00E-04      5.5 H  1.98E+04  3.60E+02 IT
108AG 47   632.980   .050  3.69E-01  2.10E-02     2.37 M  1.42E+02  6.00E-01 B-
108AG 47   433.960   .050  9.90E-02  2.00E-03     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   497.100   .200  4.50E-04  1.10E-04     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   931.120   .200  1.09E-04  1.00E-05     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   618.860   .050  5.20E-02  3.00E-03     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   383.200  1.000  1.80E-04  6.00E-05     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   880.260   .100  6.30E-04  5.00E-05     2.37 M  1.42E+02  6.00E-01 EC
108AG 47   388.600   .400  3.70E-04  1.20E-04     2.37 M  1.42E+02  6.00E-01 EC
108AG 47  1007.220   .060  2.76E-03  1.40E-04     2.37 M  1.42E+02  6.00E-01 EC
108AG 47  1441.140   .100  6.00E-04  4.00E-05     2.37 M  1.42E+02  6.00E-01 EC
108AG 47  1106.000   .070  3.30E-04  3.00E-05     2.37 M  1.42E+02  6.00E-01 EC
108AG 47  1540.000   .200  2.08E-04  2.00E-05     2.37 M  1.42E+02  6.00E-01 EC
110AG 47   657.500   .100  1.86E+00  5.00E-02     24.6 S  2.46E+01  2.00E-01 B-
110AG 47   815.500   .200  1.58E-02  4.00E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47   818.200   .200  3.72E-03  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1475.800   .200  1.49E-03  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1074.000   .200  3.70E-04  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1125.800   .200  6.32E-03  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1783.600   .800  1.90E-03  3.00E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47   295.300   .100  3.20E-03  6.00E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1421.400   .200  9.30E-04  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1629.900   .200  9.30E-04  1.90E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1674.300   .200  2.98E-03  1.30E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  1186.300   .200  1.12E-03  2.40E-04     24.6 S  2.46E+01  2.00E-01 B-
110AG 47  2004.400   .200  1.49E-03  1.50E-04     24.6 S  2.46E+01  2.00E-01 B-
114IN 49  1299.830   .070  2.40E-04  5.01E-05     71.9 S  7.19E+01  1.00E-01 B-
114IN 49   311.646   .017  1.30E-01  3.06E-02    43.1 MS  4.31E-02  6.00E-04 IT
116IN 49  1293.540   .150  1.31E+02  3.01E+00    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   463.140   .120  1.28E+00  8.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   355.360   .040  1.28E+00  7.01E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   818.700   .200  1.78E+01  7.01E-01    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  2112.100   .400  2.41E+01  7.02E-01    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   932.200   .300  1.18E-01  2.50E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  2225.500   .800  8.00E-02  1.30E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   972.400   .200  7.05E-01  2.50E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49    99.810   .100  2.60E-02  1.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  1072.300   .700  3.10E-02  2.40E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   124.750   .070  1.60E-02  8.00E-03    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   165.500   .000  7.60E-04  1.60E-06    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   278.490   .080  2.20E-01  3.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  1097.300   .200  8.73E+01  1.71E+00    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   138.326   .008  5.11E+00  1.80E-01    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   262.950   .080  1.80E-01  4.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   303.800   .070  1.80E-01  3.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   416.860   .030  4.30E+01  1.80E+00    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   434.900   .700  5.60E-02  2.20E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   536.000   .600  5.40E-02  2.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   689.000   .300  2.50E-01  4.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  1507.400   .200  1.55E+01  5.01E-01    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   245.000   .300  5.80E-02  1.20E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   655.700   .400  1.70E-01  7.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   781.100   .800  1.70E-01  3.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49  1753.800   .600  3.82E+00  1.20E-01    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   567.400   .900  6.40E-02  2.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   705.700   .300  2.60E-01  4.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   730.700   .300  1.00E-01  4.00E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   830.900   .400  8.10E-02  1.60E-02    54.41 M  3.26E+03  3.60E+00 B-
116IN 49   162.393   .003  1.58E+01  8.01E-01     2.18 S  2.18E+00  4.00E-02 IT
116IN 49  1293.400   .000  4.70E-01  9.90E-04    14.10 S  1.41E+01  3.00E-02 B-
116IN 49   463.300   .000  9.30E-02  1.96E-04    14.10 S  1.41E+01  3.00E-02 B-
116IN 49   818.700   .000  5.20E-03  1.09E-05    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  2112.300   .000  7.60E-03  1.60E-05    14.10 S  1.41E+01  3.00E-02 B-
116IN 49   932.100   .000  4.70E-03  9.90E-06    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  2225.500   .000  2.00E-03  4.21E-06    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  1252.600   .000  1.10E-02  2.32E-05    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  1356.400   .000  3.80E-03  8.00E-06    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  2649.800   .000  4.30E-04  9.05E-07    14.10 S  1.41E+01  3.00E-02 B-
116IN 49  1497.100   .000  5.70E-03  1.20E-05    14.10 S  1.41E+01  3.00E-02 B-
123SN 50   160.320   .050  5.80E-03  3.76E-05    40.06 M  2.40E+03  6.00E-01 B-
123SN 50   381.400   .300  2.84E-06  2.31E-07    40.06 M  2.40E+03  6.00E-01 B-
123SN 50   541.800   .400  1.33E-06  2.30E-07    40.06 M  2.40E+03  6.00E-01 B-
123SN 50   170.900   .700  5.00E-07  3.00E-07    40.06 M  2.40E+03  6.00E-01 B-
123SN 50   552.500   .300  6.90E-07  1.20E-07    40.06 M  2.40E+03  6.00E-01 B-
125SN 50   331.900   .200  8.30E-03  2.03E-04     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   311.200   .500  5.00E-06  4.00E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   643.000   .500  1.20E-05  3.00E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   278.400   .500  5.00E-06  4.00E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   589.600   .500  1.50E-05  3.00E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1017.300   .500  7.30E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1349.000   .800  1.50E-06  7.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   840.900   .500  5.10E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1151.100   .600  2.20E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1483.900   .500  1.39E-05  2.20E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   778.000  2.000  1.00E-06  4.00E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1059.000  1.000  1.50E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1368.800   .500  7.30E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50   386.000   .400  6.60E-06  7.02E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1093.000  1.000  2.90E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1404.000   .500  5.27E-05  2.25E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1735.600   .500  2.20E-06  7.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1582.000  1.000  4.00E-07  4.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1913.500   .500  1.50E-06  7.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1305.000  1.000  7.00E-07  7.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1615.300   .500  8.80E-06  1.50E-06     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  1947.000  1.000  7.00E-07  4.00E-07     9.52 M  5.71E+02  3.00E+00 B-
125SN 50  2113.000  1.000  1.50E-07  1.50E-07     9.52 M  5.71E+02  3.00E+00 B-
122SB 51   564.240   .040  2.70E+00  3.74E-03   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51   615.000   .400  4.30E-04  1.60E-04   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51   692.650   .040  1.46E-01  5.00E-03   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51  1256.930   .040  3.09E-02  1.60E-03   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51   793.300   .400  6.20E-04  1.60E-04   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51  1188.000  1.000  1.60E-04  3.00E-05   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51  1752.400  1.500  3.50E-04  5.00E-05   2.7238 D  2.35E+05  1.73E+01 B-
122SB 51    61.413   .001  2.00E-02  2.00E-03    4.191 M  2.51E+02  1.80E-01 IT
122SB 51    76.059   .001  8.10E-03  8.00E-04    4.191 M  2.51E+02  1.80E-01 IT
122SB 51    26.087   .001  1.10E-06  3.00E-07    4.191 M  2.51E+02  1.80E-01 IT
124SB 51   602.720   .040  6.80E-02  9.00E-03       93 S  9.30E+01  5.00E+00 B-
124SB 51   645.820   .040  6.80E-02  9.00E-03       93 S  9.30E+01  5.00E+00 B-
124SB 51   498.400   .100  6.80E-02  9.00E-03       93 S  9.30E+01  5.00E+00 B-
124SB 51  1101.000   .000  1.60E-03  2.00E-04       93 S  9.30E+01  5.00E+00 B-
124SB 51    10.863   .001  1.40E-05  2.00E-06       93 S  9.30E+01  5.00E+00 IT
124SB 51    10.863   .001  6.04E-06  1.80E-07     20.2 M  1.21E+03  1.20E+01 IT
124SB 51    25.982   .001  4.45E-06  1.30E-07     20.2 M  1.21E+03  1.20E+01 IT
131TE 52   149.716   .005  6.30E-02  1.08E-03     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   342.945   .004  6.46E-04  1.26E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   492.660   .010  4.45E-03  7.82E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   109.400   .040  5.70E-05  6.08E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   452.323   .002  1.68E-02  2.89E-04     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   602.039   .003  3.86E-03  6.85E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   852.210   .060  4.10E-05  4.06E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   274.680   .150  6.30E-06  1.08E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   384.059   .003  8.24E-04  1.53E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   727.000   .020  4.31E-04  9.49E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   403.300  1.000  6.00E-06  3.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   856.080   .030  1.20E-04  6.34E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1005.760   .150  1.30E-05  6.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   221.570   .050  3.00E-05  4.03E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   496.230   .080  3.20E-05  6.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   605.550   .020  1.08E-04  6.28E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   948.542   .004  2.08E-03  4.34E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1098.250   .020  1.58E-04  6.58E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   141.200   .040  2.60E-05  4.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   294.750   .150  4.40E-06  7.51E-08     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   544.880   .010  3.93E-04  1.46E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   654.260   .010  1.41E-03  2.73E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   997.250   .010  3.07E-03  5.40E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1146.960   .010  4.56E-03  8.18E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   297.090   .050  6.00E-06  4.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   999.260   .150  2.50E-05  6.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1148.900  1.000  5.70E-05  6.08E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   151.100   .100  1.60E-04  6.01E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   696.190   .020  1.65E-04  1.33E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   805.570   .200  1.30E-05  5.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1148.510   .060  1.01E-04  6.24E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1297.980   .160  4.40E-06  1.90E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   469.700   .100  1.40E-05  5.01E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   744.400   .300  7.00E-06  4.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   853.830   .050  8.90E-05  4.28E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   278.170   .020  9.10E-05  4.29E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   280.170   .120  1.60E-05  4.01E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   421.320   .070  3.90E-05  8.03E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   550.400   .100  2.50E-05  6.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   574.900   .100  2.90E-05  4.03E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   825.000   .200  2.50E-05  6.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   934.483   .005  8.05E-04  1.89E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1277.440   .010  1.08E-04  4.40E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1427.140   .020  9.70E-05  3.43E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   297.090   .050  3.90E-05  4.05E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   345.600   .100  1.30E-05  4.01E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   438.300   .200  6.00E-06  3.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   567.330   .040  9.40E-05  6.21E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   841.990   .020  1.84E-04  6.77E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   951.390   .020  3.04E-04  7.93E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1294.340   .020  4.43E-04  9.65E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   351.480   .070  2.20E-05  4.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   353.580   .090  1.80E-05  4.01E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   402.360   .140  6.00E-06  3.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   494.850   .050  7.00E-05  6.12E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   898.540   .030  1.27E-04  6.38E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1007.960   .010  7.35E-04  1.39E-05     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1350.910   .040  5.60E-05  3.15E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1500.620   .030  1.06E-04  3.50E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1184.700   .200  5.10E-06  1.90E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1527.730   .020  5.26E-05  2.66E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   881.150   .090  2.30E-05  4.02E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1155.800   .200  3.80E-06  1.90E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1265.200   .200  4.40E-06  1.30E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   299.940   .060  3.60E-05  4.05E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   702.700   .300  7.00E-06  5.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1198.300   .200  5.10E-06  1.30E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1308.100   .200  6.30E-06  6.10E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1650.970   .090  1.14E-05  6.31E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1800.680   .200  3.20E-06  6.02E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1035.500   .500  2.50E-06  1.90E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1548.000   .500  8.00E-07  4.00E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1891.100   .300  2.50E-06  1.30E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  2040.800   .100  6.30E-06  6.10E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1066.800   .300  6.00E-06  3.00E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1579.940   .090  7.60E-06  6.14E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  1923.600   .200  3.20E-06  6.02E-07     25.0 M  1.50E+03  6.00E+00 B-
131TE 52  2072.800   .300  5.70E-06  1.30E-06     25.0 M  1.50E+03  6.00E+00 B-
131TE 52   149.710   .010  4.70E-04  6.05E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   492.650   .050  7.00E-06  4.00E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   109.400   .200  3.20E-06  7.02E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   452.300   .040  1.40E-04  4.01E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   602.090   .040  2.90E-05  1.10E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   773.670   .030  3.55E-03  7.26E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52    78.570   .080  1.40E-06  3.01E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   702.500   .070  3.63E-05  1.90E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   852.210   .030  1.92E-03  5.17E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   403.300   .400  2.90E-06  1.10E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   856.050   .060  5.80E-05  4.12E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1005.700   .200  6.80E-06  1.40E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52    54.100   .100  1.10E-07  7.00E-08       30 H  1.08E+05  7.20E+03 B-
131TE 52   207.500   .100  3.60E-06  1.10E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   910.000   .030  3.06E-04  8.73E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1059.690   .040  1.44E-04  4.69E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   296.800   .300  4.70E-06  7.05E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   546.700   .200  3.60E-06  7.03E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   999.200   .100  1.58E-05  1.82E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   681.900   .300  2.90E-06  7.02E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52  1134.200   .400  7.00E-07  4.00E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   255.440   .070  2.88E-05  1.20E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   309.470   .060  3.50E-05  3.06E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   462.920   .050  1.69E-04  4.93E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   541.400   .100  1.04E-05  2.21E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   713.100   .040  1.33E-04  1.42E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52  1165.500   .100  1.29E-05  1.12E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1315.160   .080  6.50E-05  7.09E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1376.800   .400  4.00E-06  7.03E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   801.600   .200  1.80E-06  7.01E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52  1254.200   .400  2.50E-06  4.02E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52  1403.600   .600  1.10E-06  7.00E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   695.620   .080  3.70E-05  3.07E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   774.100   .100  5.00E-05  7.05E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1547.750   .090  6.50E-06  7.09E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   782.490   .040  7.23E-04  1.65E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   744.200   .040  1.47E-04  4.72E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   822.780   .040  5.68E-04  1.20E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   848.900   .200  3.60E-06  1.10E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52    98.300   .100  1.30E-06  3.01E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   269.200   .300  1.00E-05  1.71E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52   331.200   .600  2.90E-06  1.10E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   362.300   .400  7.00E-06  4.00E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   586.300   .030  1.83E-04  7.67E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52   793.750   .030  1.29E-03  2.84E-05       30 H  1.08E+05  7.20E+03 B-
131TE 52   872.300   .300  9.40E-06  1.11E-06       30 H  1.08E+05  7.20E+03 B-
131TE 52  1496.500   .400  5.40E-06  7.06E-07       30 H  1.08E+05  7.20E+03 B-
131TE 52  1646.010   .050  1.15E-04  4.46E-06       30 H  1.08E+05  7.20E+03 B-
